TIMESTAMP,Air_Temp_HS_Avg,Rel Humidity_Avg,Vapor_Pressure_Avg,WS_ms_Avg,WS_ms_Std,WS_ms_Max,WS_ms_TMx,WS3_Avg,Therm Temp1_Avg,WTemp_C1_Avg,Therm Temp2_Avg,Therm Temp3_Avg,Therm Temp4_Avg,WTemp_C2_Avg,Therm Temp5_Avg,Therm Temp6_Avg,WTemp_C3_Avg,O2_sat1_Avg,O2_sat2_Avg,O2_sat3_Avg,O2_conc1_Avg,O2_conc2_Avg,O2_conc3_Avg
07/06/2023 07:00:00,21.75796,83.63847,2.178045,5.162,0.087,5.25,07/06/2023 08:59:30,137.7064,24.57855,24.40499,24.65097,24.65424,24.60503,24.43695,24.63496,24.80235,24.41906,100.6195,100.0806,100.9055,8.406155,8.356181,8.42785
07/06/2023 06:45:00,21.7568,84.0758,2.189279,5.89,0.484,6.675,07/06/2023 08:42:30,208.448,24.58231,24.41179,24.65456,24.65482,24.60659,24.44312,24.63802,24.80626,24.42306,100.7639,100.1837,100.9978,8.417163,8.363825,8.434935
07/06/2023 06:40:00,21.87036,84.67595,2.220263,5.547,0.289,6.025,07/06/2023 08:36:00,172.1015,24.58312,24.41218,24.6553,24.65664,24.60902,24.4432,24.6398,24.8075,24.4261,100.8002,100.1772,101.0426,8.420135,8.363269,8.438198
07/06/2023 06:35:00,21.75838,84.29238,2.195179,5.255,0.526,6.35,07/06/2023 08:31:30,149.6004,24.58936,24.41527,24.65851,24.66016,24.61069,24.44433,24.64179,24.80943,24.42842,100.8198,100.2335,101.0888,8.421289,8.367792,8.441694
07/06/2023 06:30:00,21.79625,84.78002,2.212952,5.455,0.33,6.025,07/06/2023 08:26:00,164.1042,24.58894,24.41879,24.66073,24.66266,24.61478,24.44542,24.64332,24.80994,24.42959,100.796,100.2123,101.0676,8.418745,8.36586,8.439742
07/06/2023 06:25:00,21.75207,84.66859,2.204064,5.132,0.178,5.425,07/06/2023 08:22:00,135.6927,24.59059,24.41803,24.66129,24.66218,24.61367,24.44608,24.64243,24.80993,24.42795,100.7291,100.3413,100.9786,8.413277,8.376524,8.432567
07/06/2023 06:20:00,21.81809,84.5004,2.208586,5.277,0.462,6.2,07/06/2023 08:19:30,150.357,24.59168,24.41785,24.66184,24.66346,24.61433,24.44795,24.6446,24.81294,24.42946,100.5878,100.3137,100.9261,8.401507,8.373931,8.427945
07/06/2023 06:15:00,21.73527,83.88107,2.181341,5.428,0.552,6.375,07/06/2023 08:11:00,164.8853,24.59319,24.41974,24.66507,24.66724,24.61942,24.44831,24.64909,24.81447,24.43345,100.5532,100.2574,100.8867,8.398324,8.369173,8.424028
07/06/2023 06:10:00,21.74765,84.3911,2.19626,5.603,0.444,6.1,07/06/2023 08:09:30,179.0891,24.5976,24.42792,24.67209,24.67249,24.62222,24.45002,24.64908,24.81655,24.43545,100.6692,100.1995,100.867,8.406729,8.364071,8.422072
07/06/2023 06:05:00,21.90372,85.09895,2.235972,5.487,0.639,6.725,07/06/2023 08:04:00,171.996,24.59792,24.42804,24.67092,24.67226,24.62248,24.45227,24.65004,24.81561,24.4366,100.7366,100.1362,100.9195,8.412346,8.358437,8.426276
07/06/2023 06:00:00,21.85826,85.05022,2.22839,6.362,0.137,6.5,07/06/2023 07:59:30,257.9238,24.59789,24.4239,24.66847,24.67245,24.62389,24.45233,24.64964,24.81844,24.43582,100.7217,100.2794,100.8796,8.411744,8.370388,8.423065
07/06/2023 05:45:00,21.76671,85.55321,2.229132,5.873,0.345,6.75,07/06/2023 07:42:00,204.6679,24.60037,24.43269,24.67535,24.67498,24.62525,24.45427,24.65063,24.81829,24.43825,100.8375,100.4148,101.0056,8.420043,8.381383,8.433204
